TimePST:date::HH:mm a,TemperatureC:real,DewPointC:real,Humidity:real,SeaLevelPressurehPa:real,VisibilityKm:real,WindDirection:string,WindSpeedKmH:string,GustSpeedKmH:string,Precipitationmm:string,Events:string,Conditions:string,WindDirDegrees:real,DateUTC:date::yyyy-MM-dd HH:mm:ss
# http://www.wunderground.com/history/airport/KSFO/2014/2/1/DailyHistory.html?req_city=San%20Francisco%20International&req_state=CA&req_statename=California&reqdb.zip=94128&reqdb.magic=6&reqdb.wmo=99999
10:56 PM,11.7,3.3,57,1018.0,16.1,Calm,Calm,-,N/A,,Partly Cloudy,0,2014-01-03 06:56:00
11:56 PM,11.1,6.7,74,1018.0,16.1,Calm,Calm,-,N/A,,Partly Cloudy,0,2014-01-03 07:56:00
12:56 AM,11.1,6.1,71,1018.0,16.1,Calm,Calm,-,N/A,,Clear,0,2014-01-03 08:56:00
1:56 AM,9.4,4.4,71,1018.0,16.1,South,5.6,-,N/A,,Scattered Clouds,180,2014-01-03 09:56:00
2:56 AM,8.9,4.4,74,1017.9,16.1,SSE,7.4,-,N/A,,Scattered Clouds,150,2014-01-03 10:56:00
3:56 AM,7.8,2.2,68,1017.5,16.1,South,5.6,-,N/A,,Scattered Clouds,180,2014-01-03 11:56:00
4:56 AM,8.3,2.8,68,1017.4,16.1,Calm,Calm,-,N/A,,Partly Cloudy,0,2014-01-03 12:56:00
5:56 AM,7.8,2.2,68,1017.7,16.1,Calm,Calm,-,N/A,,Partly Cloudy,0,2014-01-03 13:56:00
6:56 AM,8.9,3.9,71,1018.0,16.1,Calm,Calm,-,N/A,,Mostly Cloudy,0,2014-01-03 14:56:00
7:56 AM,7.8,3.3,73,1018.2,16.1,Calm,Calm,-,N/A,,Mostly Cloudy,0,2014-01-03 15:56:00
8:56 AM,9.4,5.0,74,1018.4,14.5,Calm,Calm,-,N/A,,Scattered Clouds,0,2014-01-03 16:56:00
9:56 AM,11.7,6.7,71,1018.3,16.1,Calm,Calm,-,N/A,,Scattered Clouds,0,2014-01-03 17:56:00
10:56 AM,12.2,6.7,69,1017.4,16.1,NE,7.4,-,N/A,,Scattered Clouds,40,2014-01-03 18:56:00
11:56 AM,12.2,6.7,69,1016.6,16.1,NNE,5.6,-,N/A,,Scattered Clouds,20,2014-01-03 19:56:00
12:56 PM,12.8,7.2,69,1015.7,16.1,NNE,7.4,-,N/A,,Scattered Clouds,20,2014-01-03 20:56:00
1:56 PM,13.3,4.4,55,1015.1,16.1,Calm,Calm,-,N/A,,Mostly Cloudy,0,2014-01-03 21:56:00
2:56 PM,13.9,5.0,55,1015.1,16.1,NNE,7.4,-,N/A,,Mostly Cloudy,20,2014-01-03 22:56:00
3:56 PM,17.2,4.4,43,1014.6,16.1,West,11.1,-,N/A,,Scattered Clouds,270,2014-01-03 23:56:00
4:56 PM,16.1,2.8,41,1014.6,16.1,WNW,11.1,-,N/A,,Scattered Clouds,290,2014-01-04 00:56:00
5:56 PM,15.0,1.1,39,1014.5,16.1,West,11.1,-,N/A,,Scattered Clouds,270,2014-01-04 01:56:00
6:56 PM,13.3,5.6,60,1014.5,16.1,WNW,18.5,-,N/A,,Scattered Clouds,290,2014-01-04 02:56:00
7:56 PM,12.2,6.1,66,1015.0,16.1,West,14.8,-,N/A,,Partly Cloudy,280,2014-01-04 03:56:00
8:56 PM,12.2,5.6,64,1015.3,16.1,West,5.6,-,N/A,,Partly Cloudy,280,2014-01-04 04:56:00
9:56 PM,11.1,6.1,71,1015.6,16.1,NW,7.4,-,N/A,,Partly Cloudy,320,2014-01-04 05:56:00
