stationid,code,name
175,STS,SANTA ROSA (AWOS)
176,IZA,SANTA YNEZ
177,O87,SHELTER COVE
178,TVL,SOUTH LAKE TAHOE
179,SCK,STOCKTON METRO
180,TSP,Tehachapi
181,TRM,THERMAL AIRPORT
182,TOA,TORRANCE MUNICIPAL
183,SUU,TRAVIS AFB/FAIRFLD
184,O86,Trinity Center
185,TRK,TRUCKEE-TAHOE
186,NXP,TWENTYNINE PALMS
187,UKI,Ukiah
188,EDU,University
189,BAN,Usmc Mtn Warfare Tra
190,VCB,VACAVILLE (WAS O45)
191,VBG,VANDENBERG AFB
192,VNY,VAN NUYS AIRPORT
193,VCV,VICTORVILLE
194,VIS,VISALIA MUNI (AWOS)
195,WVI,Watsonville
196,O54,Weaverville
